drange,dlat,dlon,signed dlon,D_to_Earl_Ross_Home,D_to_Ross_Cabin,minDist,District,LLNR,XREF,Aid_x0020_Name,Aid_x0020_Type,Position_x0020__x0028_Latitude_x0029_,Position_x0020__x0028_Longitude_x0029_,Characteristic,Both_x002F_Night_x002F_Day,Height,Range,Location,Structure,Remarks,RACN_x0020_Morse_x0020_Char
26,42.83702444,124.5636519,-124.5636519,8.08062694,4.760388871,4.760388871,13,595,,Cape Blanco Light,FD,42-50-13.288N,124-33-49.147W,Fl W 20s,Both,245,26,,"White conical tower, with red roof and ball topmark.::59",Lighted througout 24 hours.,
25,36.30625028,121.9015464,-121.9015464,1.122541727,11.00475637,1.122541727,11,280,,Point Sur Light,FD,36-18-22.501N,121-54-05.567W,Fl W 15s,Both,250,25,,Light House::48,Emergency light of reduced intensity when main light is extinguished.,
24,33.74196111,118.4106286,-118.4106286,3.217512388,14.23390356,3.217512388,11,170,,Point Vicente Light,FD,33-44-31.060N,118-24-38.263W,Fl (2)W 20s,Night,185,24,,White cylindrical tower.::67,Emergency light of reduced intensity when main light is extenguished.,
22,39.34858139,123.8260478,-123.8260478,4.692055545,7.984996536,4.692055545,11,450,,Point Cabrillo Light,FD,39-20-54.893N,123-49-33.772W,Fl W 10s,Night,81,22,,Light House::47,Emergency light of reduced intensity when main light is extinguished.,
20,46.8882175,124.1169128,-124.1169128,11.74032296,1.340239755,1.340239755,13,720,15530,Grays Harbor Light,FD,46-53-17.583N,124-07-00.886W,Al WR 30s,Night,123,20,,"White truncated octagonal pyramid tower, with green cupola and red roof, with ball topmark.::33",Lighted throughout 24 hours.,
20,37.82622556,122.4221264,-122.4221264,2.646720311,9.454237043,2.646720311,11,4315,,Alcatraz Light,FD,37-49-34.412N,122-25-19.655W,Fl W 5s,Night,214,20,,Gray octagonal tower.::84,Emergency light of lower intensity when main light is extinguished.,
19,48.29802778,123.5314167,-123.5314167,12.98350222,1.241743281,1.241743281,13,16225,,Race Rocks Light,FD,48-17-52.900N,123-31-53.100W,Fl W 10s,Night,118,19,(C),Cylindrical tower with white and black horizontal bands.,HORN: 3 blast ev 60s (2s bl-3s si-2s bl-3s si-2s bl-48s si). Horn points 155??.,
19,46.29890667,124.0779811,-124.0779811,11.16167043,1.58014161,1.58014161,13,700,,North Head Light,FD,46-17-56.064N,124-04-40.732W,Fl (2)W 30s,Night,194,19,,White conical tower with black roof and ball topmark.,Light is obscured eastward of 181??.   Lighted throughout 24 hours.,
19,48.61177778,124.7513333,-124.7513333,13.570453,2.340411806,2.340411806,13,770,16140,Carmanah Point Light,FD,48-36-42.400N,124-45-04.800W,Fl W 5s,Night,182,19,(C),White octagonal tower with red top.,,
19,44.67675222,124.0794425,-124.0794425,9.609823027,2.87878684,2.87878684,13,650,,Yaquina Head Light,FD,44-40-36.308N,124-04-45.993W,Fl (2)W 20s,Night,162,19,,"White conical tower, with black cupola and red roof with ball topmark.::93",Lighted throughout 24 hours.,
18,48.14415806,122.7547769,-122.7547769,12.70651208,0.876081886,0.876081886,13,16475,,Point Wilson Light,FD,48-08-38.969N,122-45-17.197W,Al RW 5s,Night,51,18,,"White octagonal tower with a black roof, on top of a white building with a red roof.::49",,
18,48.18174556,123.1102603,-123.1102603,12.7955512,0.951591514,0.951591514,13,16335,,New Dungeness Light,FD,48-10-54.284N,123-06-36.937W,Fl W 5s,Night,67,18,,White conical tower on dwelling.::67,,
18,48.14001,123.4024217,-123.4024217,12.80427893,1.038681218,1.038681218,13,16280,,Ediz Hook Light,FD,48-08-24.036N,123-24-08.718W,Fl G (2)W 10s,Night,50,18,,On skeleton tower.::50,HORN: 1 blast ev 30s (3s bl). HORN is activated by keying the mic 5 times on VHF-FM Channel 81A (157.075MHz). HORN will operate for 30 minutes.,
18,37.81558889,122.5295183,-122.5295183,2.694111321,9.460813995,2.694111321,11,370,4220,Point Bonita Light,FD,37-48-56.120N,122-31-46.266W,Oc W 4s,Night,124,18,,White tower on building.::33,Emergency light of reduced intensity when main light is extinguished.::HORN: 2 blasts ev 30s (2s bl-2s si-2s bl-24s si). The sound signal can be activated by keying VHF-FM Ch. 81A 5 times within 10 seconds.::AIS MMSI: 993692000,
17,47.66196694,122.4357025,-122.4357025,12.18893433,0.556781237,0.556781237,13,16800,,West Point Light,FD,47-39-43.081N,122-26-08.529W,Al WR 10s,Night,27,17,,"White octagonal cupola with red roof, on top of white square building.::30",HORN: 1 bl ev 10s (1s bl). HORN is activated by keying the mic 5 times on VHF-FM Channel 81A (157.0575 MHz). HORN will operate for 30 minutes.,
17,48.51586722,123.1525089,-123.1525089,13.1321419,1.284772534,1.284772534,13,19695,,Lime Kiln Light,FD,48-30-57.122N,123-09-09.032W,Fl W 10s,Night,45,17,,"White octagonal tower with a black cupola and red roof, attached to a square white building.::31",,
17,36.63337583,121.9337161,-121.9337161,1.384409188,10.67608286,1.384409188,11,290,,Point Pinos Light,FD,36-38-00.153N,121-56-01.378W,Oc W 4s,Night,89,17,,Building::28,Emergency light of reduced intensity when main light is extinguished.,
17,48.783,123.0458333,-123.0458333,13.37981986,1.52641366,1.52641366,13,19810,,Saturna Island Sector Light,FD,48-46-58.800N,123-02-45.000W,Fl W 15s,Night,102,17,(C),On red square skeleton tower.,Red light visible from 156?? to 211.5??.,
17,48.87333333,123.29,-123.29,13.50710514,1.665798555,1.665798555,13,20370,,Active Pass Light,FD,48-52-24.000N,123-17-24.000W,Fl W 10s,Night,57,17,(C),White circular tower.,Emergency light.,
16,47.57627278,122.4205506,-122.4205506,12.1020844,0.512536864,0.512536864,13,16915,,Alki Point Light,FD,47-34-34.582N,122-25-13.982W,Fl W 5s,Night,39,16,,"White octagonal tower with a gray cupola and red roof, attached to square white building.::45",,
15,48.42458333,123.2256667,-123.2256667,13.05388624,1.218175214,1.218175214,13,16270,19685,Discovery Island Light,FD,48-25-28.500N,123-13-32.400W,Fl W 5s,Night,93,15,(C),White cylindrical tower with red top.,,
14,47.30591028,122.4442639,-122.4442639,11.83616794,0.389914463,0.389914463,13,17090,,Browns Point Light,FD,47-18-21.277N,122-26-39.350W,Fl W 5s,Night,38,14,,White concrete tower.::35,Light obscured from 217?? to 002??.,
14,35.16023,120.7604917,-120.7604917,0.498839507,12.28730389,0.498839507,11,225,,San Luis Obispo Light,FD,35-09-36.828N,120-45-37.770W,Fl W 5s,Both,116,14,,,Lighted throughout 24 hours. ::,
14,47.9121625,122.5268133,-122.5268133,12.44790759,0.709882791,0.709882791,13,16550,,Point No Point Light,FD,47-54-43.785N,122-31-36.528W,Fl (3)W 10s,Night,27,14,,Black octagonal tower atop a white building.::30,,
14,47.94874556,122.3062417,-122.3062417,12.46047054,0.85774,0.85774,13,18460,,Mukilteo Light,FD,47-56-55.484N,122-18-22.470W,Fl W 5s,Night,33,14,,"White octagonal tower with red roof, attached to white square building.::33",HORN: 1 blast ev 30s (3s bl). HORN is activated by keying the mic 5 times on VHF-FM Channel 83A (157.175MHz). HORN will operate for 30 minutes.,
14,48.32065778,122.8309581,-122.8309581,12.89164984,1.04911416,1.04911416,13,16375,,Smith Island Light,FD,48-19-14.368N,122-49-51.449W,Fl W 10s,Night,55,14,,"NB on skeleton tower, on mulit-pile structure.::50",,
14,34.44862528,120.4707006,-120.4707006,1.254599248,13.03863978,1.254599248,11,200,,Point Conception Light,FD,34-26-55.051N,120-28-14.522W,Fl W 30s,Night,133,14,,White tower behind white building.::52,,
14,34.39638667,119.7226353,-119.7226353,1.775280998,13.24545062,1.775280998,11,195,,Santa Barbara Light,FD,34-23-46.992N,119-43-21.487W,Fl W 10s,Night,142,14,,White tower.::24,Light obscured from 090?? to 275??.,
14,37.18174139,122.3939442,-122.3939442,2.10014148,10.09933708,2.10014148,11,320,,Pigeon Point Light,FD,37-10-54.269N,122-23-38.199W,Fl W 10s,Both,148,14,,Cylindrical::110,,
14,48.39199139,124.7369306,-124.7369306,13.35507088,2.209443969,2.209443969,13,760,16145,Cape Flattery Light,FD,48-23-31.169N,124-44-12.950W,Fl (2)W 20s,Night,112,14,,On skeleton tower.::9,,
14,34.01583778,119.3595581,-119.3595581,2.299143291,13.70314628,2.299143291,11,185,,Anacapa Island Light,FD,34-00-57.016N,119-21-34.409W,Fl (2)W 60s,Night,,14,,White cylindrical tower.::40,"HORN: 1 blast ev 15s (2s bl), operates continuously.",
14,34.14517,119.2099633,-119.2099633,2.332580042,13.61710906,2.332580042,11,190,3585,Port Hueneme Light,FD,34-08-42.612N,119-12-35.868W,Fl (5)W 30s,Night,52,14,,White square tower on building.::48,Obscured from 296?? to 155??.  HORN: 1 blast ev 30s (3 sec blast). The sound signal can be activated by keying VHF-FM Ch. 81A 5 times within 10 seconds.::,
14,37.53647556,122.5192756,-122.5192756,2.457928083,9.740112295,2.457928083,11,335,,Point Montara Light,FD,37-32-11.312N,122-31-09.392W,Fl W 5s,Night,70,14,,White conical tower.::30,,
14,37.80729861,122.3621881,-122.3621881,2.600211298,9.475932909,2.600211298,11,4595,,Yerba Buena Island Light,FD,37-48-26.275N,122-21-43.877W,Oc W 4s,Night,95,14,,White octagonal tower.::95,Emergency light of reduced intensity when main light is extinguished.::HORN: 1 blast ev 30s (3s bl). ,
14,37.79282194,122.510375,-122.510375,2.664610656,9.484200495,2.664610656,11,365,4245,Mile Rocks Light,FD,37-47-34.159N,122-30-37.350W,Fl W 5s,Night,49,14,,On cylindrical structure with white and orange bands.::49,"HORN: 1 blast ev 30s (2s bl), operates continuously. ::AIS MMSI: 993692039",
14,37.96320306,122.4335006,-122.4335006,2.771000081,9.316896415,2.771000081,11,5865,,East Brother Light,FD,37-57-47.531N,122-26-00.602W,Fl W 5s,Night,61,14,,Buff square tower.::61,"HORN: 1 blast ev 30s (3s bl), operates continuously from  Oct. 1 to Apr. 1.",
14,37.6991925,123.0018222,-123.0018222,2.888548409,9.57384708,2.888548409,11,355,,Farallon Light,FD,37-41-57.093N,123-00-06.560W,Fl W 15s,Night,358,14,,White conical tower.::41,,
14,37.99560917,123.023155,-123.023155,3.128698064,9.277891654,3.128698064,11,385,,Point Reyes Light,FD,37-59-44.193N,123-01-23.358W,Fl W 5s,Night,265,14,,Cylindrical structure on top of square building.::37,"HORN: 1 blast ev 30s (3s bl), operates continuously.",
14,33.708555,118.2516483,-118.2516483,3.368365882,14.31573871,3.368365882,11,135,3110,Los Angeles Light,FD,33-42-30.798N,118-15-05.934W,Fl G 15s,Night,73,14,,White cylindrical tower with black stripes on white concrete block building.::73,"Emergency light of reduced intensity when main light is extinguished.::HORN: 2 blasts ev 30s (2s bl-2s si-2s bl-24s si), operates continuously.",
14,33.72319,118.1868167,-118.1868167,3.414992285,14.32277183,3.414992285,11,125,3012,Long Beach Light,FD,33-43-23.484N,118-11-12.540W,Fl W 5s,Night,50,14,,NG on a white building with columnar base.::42,"HORN: 1 blast ev 30s (3s bl), operates continuously.",
14,38.9547575,123.7405994,-123.7405994,4.326068569,8.366200245,4.326068569,11,420,,Point Arena Light,FD,38-57-17.127N,123-44-26.158W,Fl W 15s,Night,155,14,,Light House::115,,
14,32.66506833,117.2426533,-117.2426533,4.79449113,15.63960825,4.79449113,11,5,,Point Loma Light,FD,32-39-54.246N,117-14-33.552W,Fl W 15s,Night,88,14,,Black house on white square pyramidal skeleton tower.::90,Emergency light of reduced intensity when main light is extinguished.::HORN: 1 blast ev 30s (3s bl). ,
14,41.05190472,124.15144,-124.15144,6.30529003,6.35791658,6.30529003,11,525,,Trinidad Head Light,FD,41-03-06.857N,124-09-05.184W,Oc W 4s,Night,193,14,,Light House::25,Light obscured northward of 140??.   ::HORN: 1 blast ev 30s (3s bl).,
